Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
JANQBI010000001.1	4293982	7238	1.69	0	3619	36	17	2.12
JANQBI010000002.1	2849144	4528	1.59	0	2264	13	18	0.72
JANQBI010000003.1	1802907	3430	1.90	0	1715	16	10	1.60
JANQBI010000004.1	1581872	2800	1.77	0	1400	12	7	1.71
JANQBI010000005.1	1283881	2366	1.84	0	1183	6	8	0.75
JANQBI010000006.1	30332	232	7.65	0	116	0	3	0.00
JANQBI010000007.1	10637	8	0.75	0	4	0	0	0
Totals	11852755	20602	1.74	0	10301	83	63	1.32
